city,route,num_nodes,num_edges,avg_degree,median_duration,diameter,density,top_in_degree_nodes,bottom_in_degree_nodes,top_out_degree_nodes,bottom_out_degree_nodes
adelaide,tram,29,54,1.8620689655172413,1.7016042849107733,28.0,0.0665024630541872,"[('Stop 12 Morphett Rd', 2)]","[('Stop Tram Entertainment Centre', 1)]","[('Stop 12 Morphett Rd', 2)]","[('Stop Tram Entertainment Centre', 1)]"
adelaide,rail,88,230,2.6136363636363638,2.0,28.0,0.030041797283176592,"[('Adelaide Railway Station', 10)]","[('Gawler Central Railway Station', 1)]","[('Adelaide Railway Station', 11)]","[('Gawler Central Railway Station', 1)]"
adelaide,bus,7215,8952,1.2407484407484408,0.8666666666666667,inf,0.00017199174393518724,"[('Stop 24 Crafers Ramp - South side', 11)]","[('Stop 16/21D Jetty Rd - South side', 1)]","[('Stop 49 Church St - West side', 7)]","[('Stop 16/21D Jetty Rd - South side', 1)]"
belfast,bus,1327,2128,1.60361718161266,1.0,inf,0.0012093643903564556,"[('Donegall Park Avenue', 8)]","[('Mount Eagles', 1)]","[('Templemore Avenue', 6)]","[('Mount Eagles', 1)]"
berlin,tram,462,965,2.088744588744589,1.0,inf,0.004530899324825572,"[('Schönhauser Allee/Bornholmer Str. (Berlin)', 7)]","[('Lesser-Ury-Weg (Berlin)', 1)]","[('Siegfriedstr./Josef-Orlopp-Str. (Berlin)', 8)]","[('Freiheit (Berlin)', 1)]"
berlin,subway,175,366,2.0914285714285716,1.6046189942568987,inf,0.012019704433497537,"[('S+U Zoologischer Garten Bhf (Berlin)', 4)]","[('S+U Berlin Hauptbahnhof', 1)]","[('S+U Zoologischer Garten Bhf (Berlin)', 4)]","[('S+U Berlin Hauptbahnhof', 1)]"
berlin,rail,204,507,2.485294117647059,2.0396825396825395,inf,0.012242828165749058,"[('S+U Gesundbrunnen Bhf (Berlin)', 10)]","[('S Fredersdorf', 1)]","[('S+U Gesundbrunnen Bhf (Berlin)', 10)]","[('S Fredersdorf', 1)]"
berlin,bus,4309,10176,2.361568809468554,1.0,inf,0.0005481821748998501,"[('S Potsdam Hauptbahnhof', 12)]","[('Schwanebeck (BAR), Kleiststr.', 1)]","[('S Bernau Bhf', 13)]","[('Schwanebeck (BAR), Kleiststr.', 1)]"
berlin,ferry,8,8,1.0,2.5,inf,0.14285714285714285,"[('S Wannsee Bhf (Berlin)', 1)]","[('S Wannsee Bhf (Berlin)', 1)]","[('S Wannsee Bhf (Berlin)', 1)]","[('S Wannsee Bhf (Berlin)', 1)]"
bordeaux,tram,113,220,1.9469026548672566,1.6666666666666667,42.0,0.01738305941845765,"[('Porte de Bourgogne', 4)]","[('Jean zay', 1)]","[('Porte de Bourgogne', 4)]","[('Jean zay', 1)]"
bordeaux,bus,1522,3597,2.363337713534823,1.0143790849673202,inf,0.001553805202849982,"[('Mendès France', 15)]","[('Le Haillan Rostand', 1)]","[('Mendès France', 13)]","[('Le Haillan Rostand', 1)]"
bordeaux,ferry,5,12,2.4,9.5,3.0,0.6,"[('La Cité du Vin', 3)]","[('Stalingrad (Parlier)', 1)]","[('La Cité du Vin', 3)]","[('Stalingrad (Parlier)', 1)]"
brisbane,rail,297,382,1.2861952861952861,2.775,inf,0.004345254345254345,"[('Roma Street, platform 7', 5)]","[('Bowen Hills, platform 2', 1)]","[('Central, platform 2', 5)]","[('Windsor, platform 2', 1)]"
brisbane,bus,6566,11231,1.710478221139202,1.0,inf,0.0002605450451087893,"[('Cultural Centre, platform 2', 23)]","[('North Quay Island Stop 109 near Adelaide St', 1)]","[('Cultural Centre, platform 1', 12)]","[('Adelaide Street Stop 17 near George St', 1)]"
brisbane,ferry,31,62,2.0,5.0,inf,0.06666666666666667,"[('Sydney Street ferry terminal', 3)]","[('Northshore Hamilton ferry terminal', 1)]","[('Bretts Wharf ferry terminal', 3)]","[('Northshore Hamilton ferry terminal', 1)]"
canberra,rail,3,4,1.3333333333333333,20.666666666666668,2.0,0.6666666666666666,"[('Queanbeyan Station, Platform 1', 2)]","[('Canberra Station, Platform 1', 1)]","[('Queanbeyan Station, Platform 1', 2)]","[('Canberra Station, Platform 1', 1)]"
canberra,bus,2727,3209,1.1767510084341768,0.9375,inf,0.0004316768189413708,"[('City Bus Stn Arrivals', 8)]","[('Arboretum Car Park', 1)]","[('Civic Interchange Bay 6, Alinga St', 8)]","[('Arboretum Car Park', 1)]"
detroit,bus,4304,5920,1.3754646840148699,0.5533333333333333,inf,0.00031965249454214966,"[('WASHINGTON BLVD & MICHIGAN', 7)]","[('WYOMING & MC GRAW', 1)]","[('Northland Center', 6)]","[('WYOMING & MC GRAW', 1)]"
dublin,tram,54,106,1.962962962962963,1.8751941911516379,inf,0.037037037037037035,"[('Belgard Luas Stop', 4)]","[(""St.Stephen's Green Luas Stop"", 1)]","[('Belgard Luas Stop', 4)]","[(""St.Stephen's Green Luas Stop"", 1)]"
dublin,rail,49,133,2.7142857142857144,3.3333333333333335,16.0,0.05654761904761905,"[('Connolly Train Station', 8)]","[('Howth Train Station', 1)]","[('Connolly Train Station', 7)]","[('Howth Train Station', 1)]"
dublin,bus,3034,4938,1.6275543836519446,0.9699595543345544,inf,0.000536615358935689,"[('College Green', 10)]","[('Davenport Hotel Merrion Street', 1)]","[('Trinity College, Shaw Street', 9)]","[(""Grand Canal Dock, Saint Andrew's Resource Centre"", 1)]"
grenoble,tram,80,166,2.075,2.0,32.0,0.026265822784810128,"[('GRENOBLE, CHAVANT', 4)]","[('ECHIROLLES, DENIS PAPIN', 1)]","[('GRENOBLE, CHAVANT', 4)]","[('ECHIROLLES, DENIS PAPIN', 1)]"
grenoble,bus,666,1420,2.1321321321321323,1.0,inf,0.003206213732529522,"[('GRENOBLE, LE RONDEAU', 6)]","[('LA TRONCHE, GRAND SABLON', 1)]","[('GRENOBLE, LE RONDEAU', 6)]","[('LA TRONCHE, GRAND SABLON', 1)]"
helsinki,tram,132,281,2.128787878787879,1.0466321243523315,26.0,0.01625028915105251,"[('Ylioppilastalo', 5)]","[('Kamppi(M)', 1)]","[('Ylioppilastalo', 5)]","[('Kamppi(M)', 1)]"
helsinki,subway,17,32,1.8823529411764706,1.878698224852071,13.0,0.11764705882352941,"[('Itäkeskus', 3)]","[('Ruoholahti', 1)]","[('Itäkeskus', 3)]","[('Ruoholahti', 1)]"
helsinki,rail,44,110,2.5,2.023780698720166,13.0,0.05813953488372093,"[('Pasila', 7)]","[('Helsinki', 1)]","[('Pasila', 7)]","[('Helsinki', 1)]"
helsinki,bus,3341,7760,2.3226578868602217,1.0,inf,0.0006954065529521621,"[('Viikki', 12)]","[('Kirkkokatu', 1)]","[('Viikki', 12)]","[('Kirkkokatu', 1)]"
